Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
Fust Fussball	fustfussball	iOS, Android, Windows 8	http://www.bitforge.ch/portfolio/fust-fussball/	bitforge			Fust		2014					https://itunes.apple.com/ch/app/fust-football/id824792887, https://play.google.com/store/apps/details?id=ch.fust.fustwm, http://www.windowsphone.com/de-ch/store/app/fust-fussball/27f974ef-59bc-48c9-a799-4e7e98934326											https://www.bitforge.ch/home/wp-content/uploads/2014/04/bitforge_fust_jonglier_meister_2014_gallery_1.png		Wir freuen uns, für Dipl. Ing. Fust einen Klassiker aufs Smartphone zu bringen: Fussball-Jonglieren mit den Füssen, Knien, Schultern und dem Kopf, natürlich so oft wie möglich. Womit und wie man trifft, entscheidet allein das Timing, es gilt also im richtigen Moment den Bildschirm anzutippen oder dem Phone einen „Zwick“ zu geben. Es gibt mächtige Power-Ups freizuschalten, die man während dem Spiel holen und aktivieren kann, für Extraleben, Bonuspunkte, Kraft oder Agilität. Das Freispielen dieser Power-Ups funktioniert durch ausdauerndes Spielen, weiterempfehlen des Spiels oder durch einlösen von Codes, die Fust an Kunden vergeben kann, und ist für uns somit auch etwas eine Free-To-Play Fingerübung.  Der virtuelle Fussballstar mit Hampelmann-Charme lässt sich ausserdem mit einem Spielerfoto als Gesicht personalisieren und liefert so eine Extraportion Humor.			released	5210
Kind of Soccer	kindofsoccer	iOS	http://www.miniclip.com/games/kind-of-soccer/en/	Christian Schnellmann					2014					https://itunes.apple.com/app/id789635105, https://play.google.com/store/apps/details?id=com.schnellmann.kindofsoccer											http://is1.mzstatic.com/image/thumb/Purple3/v4/ae/61/bd/ae61bd74-6492-50db-7b07-e93a19702801/source/520x293bb.jpg		It's kind of soccer...but it's more of an assault on the referee! Click and drag to aim the ball and release to pass to a teammate or strike the ref. If you hit the referee, it's a point for you - but if you miss and the ball goes out, it's a point for him. The first to 5 wins!   Play now and knock out the referee! 			released	5210
Just Type This	justtypethis	Flash	https://www.kongregate.com/games/lorgh/just-type-this	ZappedCow	Nyon				2014	English		Typing Game								https://www.kongregate.com/games/lorgh/just-type-this							A short game about mashing keys.			released	5131
Caps'Em All	capsemall	Flash	https://www.kongregate.com/games/Lorgh/capsem-all	ZappedCow	Nyon				2014	English		Action								https://www.kongregate.com/games/Lorgh/capsem-all							Ever dreamed of being a bottle capping robot?			released	5131
hck_2_0_0	hck200	Flash	https://dir3kt.itch.io/hck_2_0_0	ZappedCow	Nyon				2014	English		Action/Puzzle								https://dir3kt.itch.io/hck_2_0_0							Hack the corp!			released	5131
Fairy King	fairyking	iOS, Android, WP8	https://play.google.com/store/apps/details?id=com.CouchDevelopers.FairyKingFree	couch developers					2014					https://play.google.com/store/apps/details?id=com.CouchDevelopers.FairyKingFree											http://www.zarkonnen.com/static/bumble/media/uploads/fairyking.png		Once upon a time the King of the Fairies went for a walk outside of his kingdom to collect flowers. All of a sudden the ground started shaking and his fairy folk were transformed into evil blocks, which seal his path home. Help the mighty Fairy King to find his way back to the fairy kingdom. Use the force of his magic wand to release the enchanted blocks, for the survival of the mighty Fairy King and his people lies now in your hands.  			released	5210
Hyper Jelly	hyperjelly	iPhone, iPad	http://www.aronsommer.com/	Aron Sommer					2014																http://a2.mzstatic.com/us/r30/Purple/v4/5d/8a/80/5d8a800f-8ae4-d6e1-9781-c49b2ec6b914/screen480x480.jpeg		Hyper Jelly is a minimal arcade game.  - Simple touch controls - Three different camera views - Addictive endless gameplay			released	5110
Doomsday Bunker	doomsdaybunker	Web	http://www.zyxer.net/ld/doomsdaybunker/	Henry Raymond	Zürich				2014	English		Base-Building								http://www.zyxer.net/ld/doomsdaybunker/										unreleased	4131
Les Voies Lactées	lesvoieslactes	Windows 7 Touch Table		DIGITAL KINGDOM			Alimentarium		2014																https://web.archive.org/web/20160116071321im_/http://digitalkingdom.ch/wp-content/uploads/2014/06/ilots_magu-1170x658.jpg		Digital Kingdom a été mandaté en février 2014 par le musée de l’Alimentation Nestlé à Vevey pour la production d’une application interactive dans le cadre de sa nouvelle exposition temporaire «DÉTOX. Croyances autour de la nutrition», du 18 mai 2014 au 30 avril 2015.  Faisant partie intégrante de l’espace de l’exposition, l’application fonctionne sur une table tactile de 42 pouces. Elle se veut être un outil pédagogique et ludique à destination des 7-12 ans, mais est également jouable par un public adulte.  Cette application interactive vise à transmettre ou à faire valider des connaissances de base sur l’utilisation du lait dans notre quotidien, avec des aspects historiques ou plus contemporains.		https://web.archive.org/web/20160116071321/http://digitalkingdom.ch/portfolio/les_voies_lactees/	released	4110
Bed Monsters	bedmonsters	Mac, iOS, Android	https://itunes.apple.com/ch/app/bed-monsters/id889898906?mt%3D8	Pixcube Animation Studio					2014					https://itunes.apple.com/ch/app/bed-monsters/id889898906?mt%3D8																released	3210
Got Dumped	gotdumped	iOS	https://itunes.apple.com/ch/app/id921388403	RoceanOne					2014					https://itunes.apple.com/ch/app/id921388403																released	3210
Caps’Em All	capsemall	iOS	https://itunes.apple.com/us/app/capsem-all/id825016613?mt%3D8	Zapped Cow	Nyon				2014	English		Rythym								https://www.kongregate.com/games/lorgh/capsem-all								Joël Lauener, Code / Art / Design		released	4141
Drei	drei	iOS, Android, PC, Mac	http://etter.co/drei/	Etter Studio					2014																					released	3110
Parcours’pro	parcourspro	iPad	http://digitalkingdom.ch/portfolio/parcourspro/	DIGITAL KINGDOM					2014																					released	3110
The Good, The Bad & The Beauty	thegoodthebadandthebeauty	Browser	http://gbb-game.com/	Fabian Brunner, Goran Saric, Marco Schmid, Don Schmocker, 					2014																					released	3110
BEEST	beest	PC, Mac	http://aliceruppert.ch/beest.html	Alice Ruppert, Martina Hugentobler					2015													http://aliceruppert.ch/beest.html	https://www.youtube.com/watch?v=2vHfong98mk		http://aliceruppert.ch/img/beest.jpg		BEEST was inspired by the very real issue of honeybees dying due to parasites. Actual experiments to create new types of honeybees that can resist certain parasites have been conducted. In our version, we played with the idea of a robotic bee that is sent into beehives in order to exterminate the hostile parasites within.  In traditional roguelike manner, we intended for the game to be difficult to master. In the end however, we managed that a bit too well and have created a game that borders on frustration in its difficulty.   The player moves from room to hexagonal room in a level, only able to leave rooms once all enemies within have been defeated. In some rooms, the player will encounter sick honeybees that can only be cured by draining life force from still living enemies.			released	7110
Antyz	antyz	iOS, Android	http://www.antyzthegame.com/	DNA Studios					2015					https://itunes.apple.com/us/app/antyz/id1033810783?mt=8, https://play.google.com/store/apps/details?id=ch.dnastudios.antyzthegame, https://www.amazon.com/DNA-Studios-Antyz/dp/B017T59A6S	http://presskit.antyzthegame.com/sheet.php?p=antyz								https://www.youtube.com/watch?v=HcdgNY67qnc	https://lh3.googleusercontent.com/PlW58pIEJ6oLsfvMPD9X4gDrJi1m7R38jn78SG4jjHcKrNc6JiY54aXxUmHZCmOmTBaM=w300-rw	http://presskit.antyzthegame.com/antyz/images/27.png	http://presskit.antyzthegame.com/antyz/images/artwork-2.png	«ANTYZ - A Time Odyssey» is a free adventure puzzle game. Help the ants survive a sudden glacial era. You will travel back through the ages of time, charting a path towards the center of the earth. You will control the scouting ant who must dig the path and overcome the dangers threatening the ants nest. You will travel through various eras and more than 100 magnificent levels to discover the story of ANTYZ.  			released	6330
The Unstoppables	theunstoppables	iOS, Android	http://www.theunstoppablesgame.ch	LerNetz			Stiftung Cerebral		2015					https://itunes.apple.com/us/app/the-unstoppables/id968991365?l=de&ls=1&mt=8, https://play.google.com/store/apps/details?id=com.cerebral.theunstoppables									https://www.youtube.com/watch?v=cDf15skcStw		http://www.theunstoppablesgame.ch/img/gallery/1.png	http://www.theunstoppablesgame.ch/img/unstoppablesHeader.png	Was für eine Katastrophe! Völlig ahnungslos stehen die vier Freunde Mai, Jan, Achim und Melissa vor dem Essstand, als plötzlich der geliebte Blindenhund «Tofu» von einem geheimnisvollen Bösewicht entführt wird. Für die vier Freunde ist klar: Sie müssen Tofu aus den Händen des Entführers befreien. Obwohl die Freunde sehr unterschiedlich sind, lassen sie sich nicht aufhalten. Nur dank Teamwork können sie die unterschiedlichen Hürden überwinden. Sie sind «The Unstoppables»!  Die spannende Reise beginnt bei Melissa daheim und führt in mehreren Schritten zur gruseligen Waldhütte. Gelingt es dir, mit den Unstoppables Tofu zu befreien?  Das Game wurde parallel zum Lehrmittel «Prinzip Vielfalt» im Auftrag der Stiftung Cerebral entwickelt, welches sich mit dem Thema «Gleichsein und Anderssein» beschäftigt.			released	6310
Dreii	dreii	PlayStation 4, PS Vita, Wii U, PC, Mac, Linux, iOS, Android	http://dreii.com	Etter Studio					2015	English, French, Italian, German, Spanish, Arabic, Dutch, Greek, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Brazilian Portuguese, Swedish, Turkish			European Design Award, Swiss Game Award	http://store.steampowered.com/app/298420/, https://play.google.com/store/apps/details?id=com.etterstudio.drei, https://itunes.apple.com/us/app/etter-drei/id708388097?mt=8, https://store.playstation.com/#!/en-gb/games/dreii/cid=EP4195-CUSA03403_00-3000000000000001									https://www.youtube.com/watch?v=2qtWc72PhXs		http://dreii.com/play/img/dreii_screen_02.png		Dreii is a puzzling game about skill, logic and friendship. It subtly connects players in real-time across the world, to help one another in a battle against gravity.			released	6230
My Little Fairy	mylittlefairy	iOS	http://www.plexusgames.com/mylittlefairy/index.php	Plexus Games	Genève				2015					https://itunes.apple.com/us/app/my-little-fairy/id954153747?l=fr&ls=1&mt=8	http://www.plexusgames.com/press/runicsorcererpresskit.zip, http://www.plexusgames.com/press/runicsorcererpresskitvideo.zip								https://www.youtube.com/watch?v=LinGGhzx4oA		http://www.plexusgames.com/mylittlefairy/galleryimages/3.jpg		Enter the magical world of My Little Fairy ! (4-8 year olds) Time to explore, play and learn with your new friend the little fairy. Learn to manage water resources, wake up the baby dragon, resolve puzzles, play music with the mouse organ, choose the appearance of the fairy and much more.			released	6230
Unmem Alphaness	unmemalphaness	iOS	http://www.unmem.com/alphaness/	Karian Føhr	Lausanne				2015				Swiss Game Selection Award 2013	https://itunes.apple.com/us/app/unmem-alphaness/id905150869									https://www.youtube.com/watch?v=mZwk-9lfBg8		http://www.unmem.com/alphaness/slide/unmem_6.jpg		Unmem Alphaness is a smart drawing game about lines and symbols. For the first time, you will meet this hidden entity that interprets and animates your gestures, welcoming you in his kingdom. You will command sentinels in the hunt for symbols to get the best score.			released	6230
CastleHustle	castlehustle	AirConsole	https://www.airconsole.com/play/party-games/castle-hustle	Julie Baechtold, Nicolas Matter, Xavier Heimgartner					2015											https://www.airconsole.com/play/party-games/castle-hustle			https://www.youtube.com/watch?v=lsHv-es-QKU	https://lh3.googleusercontent.com/qNA6DdzxySzoRWDWoAYqpw4VtlvuPr9BBZNtWhkKm61mRlA4Lz1A6ezwCEGD-FMA4mL9ek1b7NVQ4h-teeO7Zg		https://lh3.googleusercontent.com/qNA6DdzxySzoRWDWoAYqpw4VtlvuPr9BBZNtWhkKm61mRlA4Lz1A6ezwCEGD-FMA4mL9ek1b7NVQ4h-teeO7Zg	Castle Hustle is a multiplayer browser-based game for 1-6 players. Instead of playing against each other, this game is all about surviving as a team! Players work together to defend the King’s castle against an array of magical creatures, including large giants with looming green eyes. To survive in this game, players need to come up with strategies, such as maneuvering equipment, collecting ammunition, firing on attackers, managing everything the group needs, and making sure they stay alive.			released	6220
Crossbow Warrior	crossbowwarrior	PC, Mac	http://legendoftell.com/	Pixcube, MobyDick Games		Scherrer Medien GmbH        			2015					http://store.steampowered.com/app/412010/Crossbow_Warrior__The_Legend_of_William_Tell/									https://www.youtube.com/watch?v=yumiyo2C1OY		http://cdn.edgecast.steamstatic.com/steam/apps/412010/ss_fc6f8abdc7f6dcffd425a0b4937810e753b004e1.1920x1080.jpg?t=1453880020		Crossbow Warrior has 29 exciting levels with 4 different game types like classical Jump'n'run-, Sniper-, TempleRun-, Boat-Levels! Experience the whole story behind the legend of William Tell with a multitude of lovely graphics!			released	6220
spaceMaster	spacemaster	Java, Web, iOS, Android	http://bernhard-webstudio.ch/spacemaster	Bernhard Webstudio	Au ZH				2015					https://play.google.com/store/apps/details?id=ch.genieblog.android, https://geo.itunes.apple.com/ch/app/pixelspacemaster/id993483077?mt=8&uo=6								http://app.bernhard-webstudio.ch/spaceMaster/WAR, http://app.bernhard-webstudio.ch/spaceMaster/spaceMaster.jar			http://www.zarkonnen.com/static/bumble/media/uploads/spacemaster.png		Fly your rocket through space and collect the coins which make you rich. But pay attention: space is full of dangerous comets and UFOs, which steel your coins and want to destroy you, and you can not slow down. Luckily, you can shoot your enemies with your lasergun. Have fun beating your highscore and compare it with your friends, thanks to Swarm!   Move the spaceMasterShip when you tilt your Phone left and right. Acceleration is automatic and unfortunately, your break broke down!			released	6220
